t,d,spd_lim,tfc_flw,traf_lig,tfc_sgn,toll_booth,curvature,slope,velocity_kmh_raw
1331,0,30,20,0,0,0,0,1.4076493,4.9617229
1332,1.6582012,30,20,0,0,0,0.000033,1.4148734,6.9773254
1333,3.9755509,30,20,0,0,0,0.0000634,1.419368,9.707593
1334,6.8556479,30,20,0,0,0,0.0000797,1.4171861,11.0291052
1335,9.8896989,30,20,0,0,0,0.0000772,1.4074952,10.816062
1336,12.8791607,30,20,0,0,0,0.0000615,1.392611,10.7080631
1337,15.7451044,30,20,0,0,0,0.0000401,1.3753075,9.9267311
1338,18.4505135,30,20,0,0,0,0.0000196,1.3579242,9.5522146
1339,21.2787455,30,20,0,0,0,0.0000029,1.3403105,10.8110561
1340,24.5483721,30,20,0,0,0,-0.0000056,1.3213169,12.7302551
1341,28.27356,30,20,0,0,0,0.0000024,1.3006317,14.0910978
1342,32.2936724,30,20,0,0,0,0.0000351,1.2783403,14.8537111
1343,36.7706526,30,20,0,0,0,0.000074,1.2532547,17.3805466
1344,41.8448538,30,20,0,0,0,0.0000605,1.2250731,19.1537018
1345,47.3226287,30,20,0,0,0,-0.0000025,1.195245,20.2862778
1346,52.8989447,30,20,0,0,0,0.0000146,1.165277,19.8631973
1347,58.5160554,30,20,0,0,0,0.0000835,1.1354341,20.5799999
1348,64.3869529,30,20,0,0,0,0.0000609,1.1047195,21.6904621
1349,70.4373995,30,20,0,0,0,0.0000378,1.0735608,21.8727531
1350,76.5469913,30,20,0,0,0,0.0001181,1.0425546,22.1163082
1351,82.5951456,30,20,0,0,0,0.000098,1.0123148,21.4304028
1352,88.4386737,30,20,0,0,0,-0.0000041,0.9835347,20.6429997
1353,93.9588734,30,20,0,0,0,0.0000337,0.9567424,19.102438
1354,99.1442232,30,20,0,0,0,0.0001263,0.9319237,18.2320805
1355,104.2251017,30,20,0,0,0,0.0001289,0.907929,18.3502445
1356,109.4931912,30,20,0,0,0,0.0000797,0.8833815,19.5799999
1357,115.0627186,30,20,0,0,0,0.0000671,0.8577885,20.5205975
1358,120.7394258,30,20,0,0,0,0.0000786,0.8320845,20.3516941
1359,126.5587099,30,20,0,0,0,0.0000789,0.8061382,21.5471516
1360,132.8908141,30,20,0,0,0,0.0000783,0.7783673,24.0439987
1361,139.7949899,30,20,0,0,0,0.0000984,0.7486207,25.6660671
1362,147.1380564,30,20,0,0,0,0.0001454,0.7175722,27.2040119
1363,154.8527113,30,20,0,0,0,0.0001415,0.685633,28.3415031
1364,162.8444674,30,20,0,0,0,0.0000727,0.6532681,29.1991405
1365,171.0550938,30,20,0,0,0,0.0000648,0.6207441,29.9173698
1366,179.4691644,30,20,0,0,0,0.0001842,0.5881796,30.6639385
1367,188.0384786,30,20,0,0,0,0.0001476,0.5558249,31.0351238
1368,196.7440199,30,20,0,0,0,0.0001311,0.523759,31.6447735
1369,205.5869404,30,20,0,0,0,0.0002103,0.4919978,32.0242539
1370,214.5416365,30,20,0,0,0,0.0001334,0.460685,32.4495583
1371,223.5179641,30,20,0,0,0,0.000094,0.4301343,32.1800003
1372,232.3956632,30,20,0,0,0,0.0001585,0.4007272,31.7394333
1373,241.1660848,30,20,0,0,0,0.0000618,0.3725152,31.4076023
1374,249.7720018,30,20,0,0,0,0.0000304,0.345663,30.5550003
1375,258.2514002,30,20,0,0,0,-0.0000269,0.3199612,30.4966679
1376,266.8162229,30,20,0,0,0,-0.0000672,0.2947641,31.1700554
1377,275.3950431,30,20,0,0,0,-0.0000634,0.2702616,30.5974503
1378,283.8643367,30,20,0,0,0,-0.0002828,0.2467787,30.381464
1379,292.2362422,30,20,0,0,0,0.0006168,0.2242656,29.8962555
1380,300.4405177,30,20,0,0,0,0.0059825,0.2027399,29.1745281
1381,308.2980508,30,20,0,0,0,0.0200255,0.1819422,27.3997097
1382,315.5843612,30,20,0,0,0,0.0464694,0.1609232,25.0617256
1383,322.2153634,30,20,0,0,0,0.0431431,0.1433712,22.6814899
1384,328.1688403,30,42,0,0,0,0.014742,0.1304437,20.1835442
1385,333.4220176,30,42,0,0,0,0.0042028,0.1193472,17.6393318
1386,337.7359598,30,39,0,0,0,0.0027877,0.1100219,13.421052
1387,340.9249948,30,39,0,0,0,0.0023857,0.10292,9.54
1388,343.3281947,30,39,0,0,0,0.0020663,0.0974954,7.7630396
1389,345.0899827,30,39,0,0,0,0.0018448,0.0935091,4.921834
1390,346.2333439,30,39,0,0,0,0.0017137,0.0909275,3.3103669
1391,346.9292282,30,39,0,0,0,0.0016406,0.0893609,1.7
1392,347.5211237,30,39,0,0,0,0.0015832,0.0880323,2.5616474
1393,348.6624214,30,40,0,0,0,0.0014865,0.0854827,5.6556959
1394,350.8416448,30,40,0,0,0,0.0013483,0.0806606,10.0347128
1395,354.1879755,30,40,0,0,0,0.0012172,0.0733608,14.0588684
1396,358.5229493,30,39,0,0,0,0.0010918,0.0640584,17.1529427
1397,363.9058758,30,39,0,0,0,0.0008662,0.0527001,21.6041279
1398,370.5068658,30,40,0,0,0,0.0005199,0.0390713,25.9230003
1399,378.1044102,30,40,0,0,0,0.0001529,0.0238194,28.7793198
1400,386.4937354,30,39,0,0,0,-0.0001564,0.0075213,31.6238213
1401,395.5055741,30,40,0,0,0,-0.0007003,-0.0094093,33.2614174
1402,404.7945013,30,39,0,0,0,-0.0006575,-0.0262126,33.6188583
1403,414.1429536,30,40,0,0,0,-0.0004032,-0.0424744,33.6899986
1404,423.4787868,30,39,0,0,0,0.000047,-0.0580781,33.5279999
1405,432.864061,30,40,0,0,0,0.000484,-0.0731314,34.0459747
1406,442.234512,30,40,0,0,0,0.0005419,-0.0875529,33.4212723
1407,451.5166834,30,39,0,0,0,0.000523,-0.1012501,33.4103622
1408,460.8122583,30,40,0,0,0,0.0004308,-0.1143901,33.5177765
1409,470.1431429,30,39,0,0,0,0.0004247,-0.1270158,33.6645927
1410,479.5285448,30,40,0,0,0,0.0003396,-0.1391612,33.9103012
1411,489.0125037,30,39,0,0,0,0.0002639,-0.1508714,34.3742027
1412,498.5665047,30,40,0,0,0,0.0002759,-0.1621227,34.4146042
1413,508.1013474,30,40,0,0,0,0.0001914,-0.1727972,34.2362633
1414,517.5563839,30,39,0,0,0,0.0000785,-0.1828661,33.8400002
1415,526.8926997,30,40,0,0,0,0.0001177,-0.1922974,33.3814735
1416,536.1131743,30,39,0,0,0,-0.000057,-0.2011327,33.0059433
1417,545.1833508,30,39,0,0,0,-0.0002362,-0.2093697,32.2993278
1418,554.0888792,30,34,1,0,0,-0.0005179,-0.2170126,31.8204765
1419,562.8333898,30,28,0,0,0,-0.0007259,-0.2240981,31.1399994
1420,571.4503694,30,30,0,0,0,-0.0008705,-0.2306906,30.9022541
1421,579.9352376,30,29,0,0,0,-0.0010853,-0.2368101,30.188797
1422,588.2576797,30,29,0,0,0,-0.0004348,-0.2424586,29.7327862
1423,596.421058,30,30,0,0,0,0.0025989,-0.2476922,29.0435371
1424,604.3319298,30,29,0,0,0,0.0069673,-0.2525542,27.9147396
1425,611.8514652,30,29,0,0,0,0.013995,-0.2570107,26.2259159
1426,618.7651786,30,30,0,0,0,0.0226309,-0.2609434,23.5528202
1427,624.6413828,30,30,0,0,0,0.0267814,-0.2640904,18.7558498
1428,629.122742,30,29,0,0,0,0.023897,-0.2662737,13.5099363
1429,631.8698705,30,29,0,0,0,0.0203842,-0.2675203,6.2693892
1430,632.8080518,30,29,0,0,0,0.0191418,-0.2679328,0.485516
1431,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1432,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1433,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1434,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1435,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1436,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1437,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1438,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1439,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1440,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1441,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1442,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1443,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1444,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1445,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1446,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1447,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1448,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1449,632.8754846,30,29,0,0,0,0.0190541,-0.2679622,0
1450,632.9629846,30,29,0,0,0,0.0189406,-0.2680004,0.63
1451,633.4938258,30,29,0,0,0,0.0182652,-0.2682306,3.1920569
1452,634.8496462,30,30,0,0,0,0.0166632,-0.2688106,6.5698504
1453,637.0607366,30,30,0,0,0,0.0144051,-0.2697338,9.3500004
1454,639.715762,50,30,0,0,0,0.0121694,-0.2708102,9.7661819
1455,642.6413858,50,30,0,0,0,0.0101415,-0.2719632,11.2983093
1456,646.0855954,50,31,0,0,0,0.0081261,-0.2732854,13.5
1457,650.1013302,50,31,0,0,0,0.0061764,-0.2747821,15.413291
1458,654.6130475,50,31,0,0,0,0.0044062,-0.2764067,17.0710735
1459,659.6450094,50,31,0,0,0,0.0028006,-0.2781478,19.1590519
1460,665.2127905,50,30,0,0,0,0.0012257,-0.2799856,20.9289722
1461,671.3593563,50,30,0,0,0,-0.0004285,-0.2819044,23.3263016
1462,678.0664244,50,32,0,0,0,-0.0019242,-0.2838662,24.9645882
1463,685.2809939,50,36,0,0,0,-0.0027747,-0.285814,26.9803124
1464,693.0064234,50,39,0,0,0,-0.0024807,-0.2876934,28.6427803
1465,701.0474262,50,40,0,0,0,-0.0018239,-0.2894051,29.2524395
1466,709.3102649,50,39,0,0,0,-0.0011442,-0.2909059,30.2399998
1467,717.8069762,50,40,0,0,0,-0.0003013,-0.2921905,30.9363213
1468,726.4914214,50,39,0,0,0,0.0005013,-0.2932428,31.5916843
1469,735.3222109,50,40,0,0,0,0.0011756,-0.2940545,31.9899998
1470,744.2344772,50,40,0,0,0,0.0009863,-0.2946234,32.178318
1471,753.1703547,50,39,0,0,0,0.0007696,-0.2949532,32.1599998
1472,762.1748925,50,40,0,0,0,0.0006791,-0.2950488,32.6726723
1473,771.3397949,50,39,0,0,0,0.0004752,-0.294909,33.3146248
1474,780.6603925,50,40,0,0,0,0.0002641,-0.294529,33.7936783
1475,790.1372736,50,39,0,0,0,0.0001591,-0.2939033,34.4398651
1476,799.8169884,50,40,0,0,0,-0.0000096,-0.2930274,35.2540817
1477,809.7416216,50,39,0,0,0,-0.0001849,-0.291871,36.2032776
1478,819.9865215,50,39,0,0,0,-0.000188,-0.2904212,37.5600014
1479,830.5938547,50,39,0,0,0,-0.000119,-0.2887048,38.8127975
1480,841.4363051,50,33,0,0,0,-0.0001747,-0.2866845,39.2528458
1481,852.3721797,50,29,0,0,0,-0.0001289,-0.2843824,39.4854507
1482,863.327205,50,30,0,0,0,-0.0002299,-0.2818404,39.3907318
1483,874.2529049,50,29,0,0,0,-0.0002405,-0.2790583,39.2743072
1484,885.1795028,50,30,0,0,0,-0.0001042,-0.2760744,39.3971977
1485,896.0510318,50,29,0,0,0,-0.000085,-0.2729231,38.8778114
1486,906.8203784,50,30,0,0,0,-0.0001872,-0.2695951,38.6614838
1487,917.5682434,50,29,0,0,0,-0.0001567,-0.2660961,38.7231445
1488,928.352355,50,30,0,0,0,-0.0001809,-0.2624192,38.9224587
1489,939.1414988,50,29,0,0,0,-0.0000638,-0.2585835,38.7593765
1490,949.8943415,50,30,0,0,0,-0.0002001,-0.2546143,38.6610909
1491,960.6271718,50,29,0,0,0,-0.000143,-0.250516,38.6152878
1492,971.359928,50,30,0,0,0,-0.0001248,-0.246293,38.6605568
1493,981.9518588,50,29,0,0,0,-0.0001447,-0.2420119,37.6013451
1494,992.3498563,50,30,0,0,0,-0.0001069,-0.237704,37.2642364
1495,1002.639491,50,29,0,0,0,-0.0001213,-0.2333544,36.8211365
1496,1012.895861,50,37,0,0,0,-0.0001113,-0.2289324,37.024723
1497,1023.235295,50,39,0,0,0,-0.0001337,-0.2244032,37.4192009
1498,1033.639714,50,38,0,0,0,-0.0001738,-0.2197741,37.4926186
1499,1044.050087,50,39,0,0,0,-0.0000408,-0.2150816,37.4620667
1500,1054.384253,50,39,0,0,0,-0.0000083,-0.2103726,36.9439278
1501,1064.472539,50,38,0,0,0,0.0002712,-0.2057285,35.6917343
1502,1074.226111,50,39,0,0,0,0.0005001,-0.2012035,34.5339851
1503,1083.611387,50,30,1,0,0,0.0007581,-0.1968225,33.0400009
1504,1092.41634,50,28,0,0,0,0.0009612,-0.19269,30.3556614
1505,1100.221744,50,29,0,0,0,0.0011867,-0.1890137,25.8432465
1506,1106.806854,50,28,0,0,0,0.0013643,-0.1859062,21.5695438
1507,1112.141765,50,28,0,0,0,0.001457,-0.183386,16.8418179
1508,1116.213615,50,29,0,0,0,0.001542,-0.1814607,12.4755001
1509,1119.248302,50,29,0,0,0,0.0016274,-0.1800249,9.3742428
1510,1121.30732,50,29,0,0,0,0.001692,-0.1790506,5.4506931
1511,1122.449083,50,29,0,0,0,0.001729,-0.1785103,2.77
1512,1122.914772,50,29,0,0,0,0.0017442,-0.1782899,0.5829609
1513,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1514,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1515,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1516,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1517,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1518,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1519,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1520,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1521,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1522,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1523,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1524,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1525,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1526,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1527,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1528,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1529,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1530,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1531,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1532,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1533,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1534,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
1535,1122.995739,50,29,0,0,0,0.0017468,-0.1782516,0
