t,d,spd_lim,tfc_flw,traf_lig,tfc_sgn,toll_booth,curvature,slope,velocity_kmh_raw
11.5,129.9833039,90,39,0,0,0,0.0054037,0.7551665,1
12,130.1916372,90,39,0,0,0,0.0054612,0.7552807,2
12.5,130.6430261,90,39,0,0,0,0.0055838,0.7555281,4.5
13,131.4416372,90,39,0,0,0,0.0057918,0.7559655,7
13.5,132.4833039,90,39,0,0,0,0.0060394,0.7565357,8
14,133.6638595,90,39,0,0,0,0.006276,0.7571812,9
14.5,135.0527483,90,39,0,0,0,0.0064755,0.7579396,11
15,136.719415,90,39,0,0,0,0.0065709,0.7588483,13
15.5,138.5249706,90,39,0,0,0,0.0064521,0.7598307,13
16,140.3305261,90,40,0,0,0,0.0060546,0.7608108,13
16.5,142.2402483,90,40,0,0,0,0.0053413,0.7618448,14.5
17,144.3583039,90,41,0,0,0,0.0042867,0.7629887,16
17.5,146.719415,90,41,0,0,0,0.0029085,0.7642606,18
18,149.3583039,90,39,0,0,0,0.0012878,0.7656782,20
18.5,152.2749706,90,36,0,0,0,-0.0004461,0.7672409,22
19,155.469415,90,35,0,0,0,-0.0023754,0.7689487,24
19.5,158.906915,90,39,0,0,0,-0.004685,0.7707841,25.5
20,162.5527483,90,54,0,0,0,-0.007442,0.7727292,27
20.5,166.3027483,90,74,0,0,0,-0.009727,0.7747243,27
21,170.0527483,90,87,0,0,0,-0.0102895,0.7767083,27
21.5,173.7333039,90,90,0,0,0,-0.0087911,0.7786424,26
22,177.2749706,90,87,0,24,0,-0.0062691,0.7804931,25
22.5,180.781915,90,85,0,0,0,-0.0036136,0.7823177,25.5
23,184.3583039,90,85,0,0,0,-0.0013188,0.784174,26
23.5,188.0041372,90,85,0,0,0,0.0002942,0.7860669,26.5
24,191.719415,90,86,0,0,0,0.000933,0.7880009,27
24.5,195.5041372,90,86,0,0,0,0.0008064,0.7899739,27.5
25,199.3583039,90,85,0,0,0,0.0004643,0.791979,28
25.5,203.3166372,90,85,0,0,0,0.0003654,0.7940285,29
26,207.4138595,90,85,0,0,0,0.0004417,0.7961413,30
26.5,211.6499706,90,86,0,0,0,0.0004796,0.79832,31
27,216.0249706,90,86,0,0,0,0.000413,0.8005642,32
27.5,220.5735817,90,85,0,0,0,0.0003398,0.8028879,33.5
28,225.3305261,90,85,0,0,0,0.0003239,0.8053064,35
28.5,230.2958039,90,86,0,0,0,0.0003166,0.8078218,36.5
29,235.469415,90,87,0,0,0,0.0002753,0.8104353,38
29.5,240.7471928,90,88,0,0,0,0.0002357,0.8130896,38
30,246.0249706,90,88,0,0,0,0.0002175,0.8157302,38
30.5,251.3374706,90,87,0,0,0,0.00018,0.8183774,38.5
31,256.719415,90,87,0,0,0,0.0001106,0.8210492,39
31.5,262.2402483,90,88,0,0,0,0.0000471,0.823777,40.5
32,267.969415,90,88,0,0,0,0.0000068,0.8265938,42
32.5,273.9416372,90,87,0,0,0,-0.0000195,0.8295174,44
33,280.1916372,90,88,0,0,0,-0.0000348,0.8325617,46
33.5,286.6846928,90,88,0,0,0,-0.0000556,0.8357057,47.5
34,293.3860817,90,87,0,0,0,-0.0001373,0.8389341,49
34.5,300.2958039,90,88,0,0,0,-0.0002001,0.8422462,50.5
35,307.4138595,90,88,0,0,0,-0.0001847,0.8456386,52
35.5,314.7402483,90,87,0,0,0,-0.0003299,0.8491076,53.5
36,322.2749706,90,88,0,0,0,-0.0004027,0.8526541,55
36.5,330.0180261,90,87,0,0,0,-0.000315,0.8562759,56.5
37,337.969415,90,87,0,0,0,-0.0003573,0.8599683,58
37.5,346.094415,90,88,0,0,0,-0.0003949,0.8637204,59
38,354.3583039,90,87,0,0,0,-0.0003981,0.867512,60
38.5,362.656915,90,88,0,0,0,-0.0004003,0.8712904,59.5
39,370.8860817,90,87,0,0,0,-0.0004125,0.8750124,59
39.5,379.0805261,90,88,0,0,0,-0.0004435,0.8786976,59
40,387.2749706,90,88,0,0,0,-0.0004886,0.882354,59
40.5,395.5388595,90,87,0,0,0,-0.000429,0.8860169,60
41,403.9416372,90,88,0,0,0,-0.0004305,0.8897183,61
41.5,412.4833039,90,87,0,0,0,-0.0004952,0.8934518,62
42,421.1638595,90,88,0,0,0,-0.0004692,0.897217,63
42.5,429.9833039,90,90,0,0,0,-0.0004518,0.9010191,64
43,438.9416372,90,90,0,0,0,-0.0005636,0.9048496,65
43.5,448.0041372,90,90,0,0,0,-0.000486,0.9086947,65.5
44,457.1360817,90,90,0,0,0,-0.0005969,0.912541,66
44.5,466.3721928,90,90,0,0,0,-0.0005111,0.9164009,67
45,475.7471928,90,90,0,0,0,-0.0004943,0.9202846,68
45.5,485.2610817,90,90,0,0,0,-0.0006351,0.9241969,69
46,494.9138595,90,90,0,0,0,-0.0005876,0.9281324,70
46.5,504.6708039,90,90,0,0,0,-0.0005585,0.9320773,70.5
47,514.4971928,90,90,0,0,0,-0.0006591,0.9360165,71
47.5,524.3930261,90,90,0,0,0,-0.0006108,0.9399491,71.5
48,534.3583039,90,90,0,0,0,-0.0006046,0.943873,72
48.5,544.3235817,90,90,0,0,0,-0.0006904,0.9477613,71.5
49,554.219415,90,90,0,0,0,-0.0006053,0.9515955,71
49.5,564.1152483,90,90,0,0,0,-0.0006964,0.9553922,71.5
50,574.0805261,90,90,0,0,0,-0.0007182,0.959181,72
50.5,584.1152483,90,90,0,0,0,-0.000698,0.9629634,72.5
51,594.219415,90,90,0,0,0,-0.0007486,0.9667342,73
51.5,604.3930261,90,90,0,0,0,-0.0007785,0.9704995,73.5
52,614.6360817,90,90,0,0,0,-0.0007029,0.9742532,74
52.5,624.9485817,90,88,0,0,0,-0.0008298,0.9779961,74.5
53,635.3305261,90,86,0,0,0,-0.0007805,0.9817299,75
53.5,645.781915,90,87,0,0,0,-0.0007886,0.9854508,75.5
54,656.3027483,90,86,0,0,0,-0.0008099,0.9891621,76
54.5,666.8583039,90,87,0,0,0,-0.0008678,0.9928473,76
55,677.4138595,90,87,0,0,0,-0.0006975,0.9964961,76
55.5,687.9346928,90,86,0,0,0,-0.0007681,1.0000968,75.5
56,698.3860817,90,87,0,0,0,-0.0007516,1.0036379,75
56.5,708.7680261,90,87,0,0,0,-0.0007725,1.0071215,74.5
57,719.0805261,90,90,0,40,0,-0.0006841,1.0105461,74
57.5,729.3235817,90,90,0,0,0,-0.0007443,1.013914,73.5
58,739.4971928,90,90,0,0,0,-0.0007386,1.0172268,73
58.5,749.6013595,90,90,0,0,0,-0.0007123,1.0204846,72.5
59,759.6360817,90,90,0,0,0,-0.0006603,1.0236885,72
59.5,769.6013595,90,90,0,0,0,-0.0006792,1.0268351,71.5
60,779.4971928,90,90,0,0,0,-0.0006942,1.0299332,71
60.5,789.3583039,90,90,0,0,0,-0.0006431,1.0329924,71
61,799.219415,90,90,0,0,0,-0.0006166,1.0360179,71
61.5,809.1499706,90,90,0,0,0,-0.0007117,1.0390367,72
62,819.219415,90,90,0,0,0,-0.0005667,1.0420652,73
62.5,829.3930261,90,90,0,0,0,-0.0006898,1.0450933,73.5
63,839.6360817,90,90,0,0,0,-0.0005493,1.0481117,74
63.5,849.9485817,90,90,0,0,0,-0.0006841,1.051118,74.5
64,860.3305261,90,90,0,0,0,-0.0005449,1.0541127,75
64.5,870.781915,90,90,0,0,0,-0.0006428,1.0570957,75.5
65,881.3027483,90,90,0,0,0,-0.0004973,1.060065,76
65.5,891.8583039,90,90,0,0,0,-0.0006669,1.0630107,76
66,902.4138595,90,90,0,0,0,-0.0005826,1.0659253,76
66.5,912.969415,90,90,0,0,0,-0.0006437,1.068806,76
67,923.5249706,90,90,0,0,0,-0.0006263,1.0716553,76
67.5,934.0805261,90,90,0,0,0,-0.0005895,1.0744699,76
68,944.6360817,90,90,0,0,0,-0.0006561,1.077253,76
68.5,955.2263595,90,90,0,0,0,-0.0005886,1.0800185,76.5
69,965.8860817,90,90,0,0,0,-0.0007037,1.0827667,77
69.5,976.5805261,90,90,0,0,0,-0.0006825,1.0854911,77
70,987.2749706,90,90,0,0,0,-0.0006349,1.0881829,77
70.5,997.969415,90,90,0,0,0,-0.0007267,1.0908435,77
71,1008.66386,90,90,0,0,0,-0.0007178,1.0934716,77
71.5,1019.358304,90,90,0,0,0,-0.0007194,1.0960688,77
72,1030.052748,90,90,0,0,0,-0.00073,1.0986341,77
72.5,1040.747193,90,90,0,0,0,-0.0007086,1.1011671,77
73,1051.441637,90,90,0,0,0,-0.0007397,1.1036702,77
73.5,1062.10136,90,90,0,0,0,-0.000759,1.1061341,76.5
74,1072.691637,90,90,0,0,0,-0.0007728,1.1085509,76
74.5,1083.247193,90,90,0,0,0,-0.0007804,1.1109307,76
75,1093.802748,90,90,0,0,0,-0.000787,1.1132806,76
75.5,1104.323582,90,90,0,0,0,-0.0008138,1.1155923,75.5
76,1114.774971,90,90,0,0,0,-0.0008256,1.117861,75
76.5,1125.156915,90,90,0,0,0,-0.0007924,1.1200859,74.5
77,1135.469415,90,90,0,0,0,-0.0008358,1.1222677,74
77.5,1145.712471,90,90,0,0,0,-0.0007853,1.1244079,73.5
78,1155.886082,90,90,0,0,0,-0.0008388,1.1265065,73
78.5,1165.990248,90,90,0,0,0,-0.0006826,1.1285643,72.5
79,1176.024971,90,90,0,0,0,-0.0005631,1.1305827,72
79.5,1185.990248,90,90,0,0,0,-0.0005655,1.1325611,71.5
80,1195.886082,90,90,0,0,0,-0.0004536,1.1345019,71
80.5,1205.712471,90,90,0,0,0,-0.0003582,1.1364051,70.5
81,1215.469415,90,90,0,0,0,-0.0002965,1.1382709,70
81.5,1225.156915,90,90,0,0,0,-0.0002298,1.1400998,69.5
82,1234.774971,90,90,0,0,0,-0.0001701,1.1418934,69
82.5,1244.28886,90,90,0,0,0,-0.0000428,1.1436447,68
83,1253.66386,90,90,0,0,0,-0.0000029,1.1453493,67
83.5,1262.865248,90,90,0,0,0,0.0000562,1.1470025,65.5
84,1271.858304,90,90,0,0,0,0.0001418,1.1485977,64
84.5,1280.608304,90,90,0,0,0,0.000015,1.1501312,62
85,1289.080526,90,90,0,0,0,-0.0002368,1.1515995,60
85.5,1297.274971,90,90,0,0,0,-0.0005266,1.1530021,58
86,1305.191637,90,90,0,0,0,-0.0008706,1.1543428,56
86.5,1312.899971,90,90,0,0,0,-0.0011198,1.1556333,55
87,1320.469415,90,90,0,0,0,-0.0012276,1.1568862,54
87.5,1327.934693,90,90,0,0,0,-0.0012043,1.1581088,53.5
88,1335.330526,90,90,0,0,0,-0.0010105,1.159307,53
88.5,1342.72636,90,90,0,0,0,-0.0007251,1.1604925,53.5
89,1350.191637,90,90,0,0,0,-0.0005168,1.1616763,54
89.5,1357.761082,90,90,0,0,0,-0.0004192,1.1628637,55
90,1365.469415,90,90,0,0,0,-0.0002522,1.1640589,56
90.5,1373.316637,90,90,0,0,0,-0.0001502,1.1652621,57
91,1381.302748,90,90,0,0,0,-0.0001229,1.1664727,58
91.5,1389.427748,90,90,0,0,0,-0.0001462,1.1676893,59
92,1397.691637,90,90,0,0,0,-0.0001987,1.1689111,60
92.5,1406.094415,90,90,0,0,0,-0.0001456,1.1701377,61
93,1414.636082,90,74,0,0,0,-0.0001922,1.1713695,62
93.5,1423.316637,90,67,0,0,0,-0.0001329,1.1726041,63
94,1432.136082,90,69,0,0,0,-0.0000262,1.1738414,64
94.5,1441.094415,90,68,0,0,0,-0.0001245,1.1750809,65
95,1450.191637,90,69,0,0,0,-0.0001849,1.1763214,66
95.5,1459.427748,90,68,0,0,0,-0.0000641,1.1775629,67
96,1468.802748,90,69,0,0,0,-0.0001335,1.1788043,68
96.5,1478.316637,90,68,0,0,0,-0.0000612,1.1800447,69
97,1487.969415,90,69,0,0,0,-0.000055,1.1812836,70
97.5,1497.761082,90,68,0,0,0,-0.0000689,1.1825196,71
98,1507.691637,90,69,0,0,0,-0.0001309,1.1837535,72
