t,d,spd_lim,tfc_flw,traf_lig,tfc_sgn,toll_booth,curvature,slope,velocity_kmh_raw
102.4,49.5972222,50,27,0,0,0,0.0001106,1.9882462,1
102.5,49.625,50,27,0,0,0,0.0001106,1.9880974,1
102.6,49.6527778,50,27,0,0,0,0.0001105,1.9879486,1
102.7,49.6805556,50,27,0,0,0,0.0001104,1.9877998,1
102.8,49.7083333,50,27,0,0,0,0.0001103,1.9876509,1
102.9,49.7361111,50,27,0,0,0,0.0001103,1.9875021,1
103,49.7638889,50,27,0,0,0,0.0001102,1.9873533,1
103.1,49.7916667,50,27,0,0,0,0.0001101,1.9872045,1
103.2,49.8194444,50,27,0,0,0,0.0001101,1.9870557,1
103.3,49.8472222,50,27,0,0,0,0.00011,1.986907,1
103.4,49.875,50,27,0,0,0,0.0001099,1.9867582,1
103.5,49.9027778,50,27,0,0,0,0.0001098,1.9866094,1
103.6,49.9305556,50,27,0,0,0,0.0001098,1.9864606,1
103.7,49.9583333,50,27,0,0,0,0.0001097,1.9863119,1
103.8,49.9861111,50,27,0,0,0,0.0001096,1.9861631,1
103.9,50.0138889,50,27,0,0,0,0.0001096,1.9860143,1
104,50.0416667,50,27,0,0,0,0.0001095,1.9858656,1
104.1,50.0694444,50,27,0,0,0,0.0001094,1.9857168,1
104.2,50.0972222,50,27,0,0,0,0.0001093,1.9855681,1
104.3,50.125,50,27,0,0,0,0.0001093,1.9854193,1
104.4,50.1527778,50,27,0,0,0,0.0001092,1.9852706,1
104.5,50.1805556,50,27,0,0,0,0.0001091,1.9851219,1
104.6,50.2083333,50,27,0,0,0,0.0001091,1.9849731,1
104.7,50.2361111,50,27,0,0,0,0.000109,1.9848244,1
104.8,50.2638889,50,27,0,0,0,0.0001089,1.9846757,1
104.9,50.2916667,50,27,0,0,0,0.0001089,1.984527,1
105,50.3194444,50,27,0,0,0,0.0001088,1.9843783,1
105.1,50.3472222,50,27,0,0,0,0.0001087,1.9842296,1
105.2,50.375,50,27,0,0,0,0.0001087,1.9840809,1
105.3,50.4027778,50,27,0,0,0,0.0001086,1.9839322,1
105.4,50.4305556,50,27,0,0,0,0.0001085,1.9837835,1
105.5,50.4583333,50,27,0,0,0,0.0001085,1.9836348,1
105.6,50.4861111,50,27,0,0,0,0.0001084,1.9834861,1
105.7,50.5138889,50,27,0,0,0,0.0001083,1.9833375,1
105.8,50.5416667,50,27,0,0,0,0.0001083,1.9831888,1
105.9,50.5833333,50,27,0,0,0,0.0001082,1.9829658,2
106,50.6388889,50,27,0,0,0,0.000108,1.9826685,2
106.1,50.6944444,50,27,0,0,0,0.0001079,1.9823712,2
106.2,50.75,50,27,0,0,0,0.0001078,1.9820739,2
106.3,50.8055556,50,27,0,0,0,0.0001076,1.9817767,2
106.4,50.8611111,50,27,0,0,0,0.0001075,1.9814795,2
106.5,50.9166667,50,27,0,0,0,0.0001074,1.9811822,2
106.6,50.9722222,50,27,0,0,0,0.0001073,1.980885,2
106.7,51.0277778,50,27,0,0,0,0.0001071,1.9805879,2
106.8,51.0833333,50,27,0,0,0,0.000107,1.9802907,2
106.9,51.1388889,50,27,0,0,0,0.0001069,1.9799936,2
107,51.1944444,50,27,0,0,0,0.0001068,1.9796965,2
107.1,51.25,50,27,0,0,0,0.0001066,1.9793994,2
107.2,51.3055556,50,27,0,0,0,0.0001065,1.9791023,2
107.3,51.3611111,50,27,0,0,0,0.0001064,1.9788052,2
107.4,51.4166667,50,27,0,0,0,0.0001063,1.9785082,2
107.5,51.4722222,50,27,0,0,0,0.0001061,1.9782112,2
107.6,51.5277778,50,27,0,0,0,0.000106,1.9779142,2
107.7,51.5833333,50,27,0,0,0,0.0001059,1.9776172,2
107.8,51.6388889,50,27,0,0,0,0.0001058,1.9773203,2
107.9,51.6944444,50,27,0,0,0,0.0001057,1.9770233,2
108,51.75,50,27,0,0,0,0.0001056,1.9767264,2
108.1,51.8055556,50,27,0,0,0,0.0001054,1.9764295,2
108.2,51.8611111,50,27,0,0,0,0.0001053,1.9761326,2
108.3,51.9166667,50,27,0,0,0,0.0001052,1.9758358,2
108.4,51.9722222,50,27,0,0,0,0.0001051,1.975539,2
108.5,52.0277778,50,27,0,0,0,0.000105,1.9752421,2
108.6,52.0833333,50,27,0,0,0,0.0001049,1.9749454,2
108.7,52.125,50,27,0,0,0,0.0001048,1.9747228,1
108.8,52.1527778,50,27,0,0,0,0.0001047,1.9745744,1
108.9,52.1805556,50,27,0,0,0,0.0001047,1.974426,1
109,52.2083333,50,27,0,0,0,0.0001046,1.9742776,1
109.1,52.2361111,50,27,0,0,0,0.0001045,1.9741293,1
109.2,52.2638889,50,27,0,0,0,0.0001045,1.9739809,1
109.3,52.2916667,50,27,0,0,0,0.0001044,1.9738326,1
109.4,52.3194444,50,27,0,0,0,0.0001044,1.9736842,1
109.5,52.3472222,50,27,0,0,0,0.0001043,1.9735359,1
109.6,52.375,50,27,0,0,0,0.0001043,1.9733875,1
109.7,52.4027778,50,27,0,0,0,0.0001042,1.9732392,1
109.8,52.4305556,50,27,0,0,0,0.0001042,1.9730909,1
109.9,52.4583333,50,27,0,0,0,0.0001041,1.9729425,1
110,52.4861111,50,27,0,0,0,0.000104,1.9727942,1
110.1,52.5138889,50,27,0,0,0,0.000104,1.9726459,1
110.2,52.5416667,50,27,0,0,0,0.0001039,1.9724976,1
110.3,52.5694444,50,27,0,0,0,0.0001039,1.9723493,1
110.4,52.5972222,50,27,0,0,0,0.0001038,1.972201,1
110.5,52.625,50,27,0,0,0,0.0001038,1.9720527,1
110.6,52.6527778,50,27,0,0,0,0.0001037,1.9719044,1
110.7,52.6944444,50,27,0,0,0,0.0001036,1.971682,2
110.8,52.75,50,27,0,0,0,0.0001035,1.9713854,2
110.9,52.8055556,50,27,0,0,0,0.0001034,1.9710889,2
111,52.8611111,50,27,0,0,0,0.0001033,1.9707924,2
111.1,52.9166667,50,27,0,0,0,0.0001032,1.9704959,2
111.2,52.9722222,50,27,0,0,0,0.0001031,1.9701995,2
111.3,53.0277778,50,27,0,0,0,0.000103,1.969903,2
111.4,53.0833333,50,27,0,0,0,0.0001029,1.9696066,2
111.5,53.1388889,50,27,0,0,0,0.0001028,1.9693102,2
111.6,53.2083333,50,27,0,0,0,0.0001026,1.9689397,3
111.7,53.2916667,50,27,0,0,0,0.0001025,1.9684952,3
111.8,53.375,50,27,0,0,0,0.0001023,1.9680507,3
111.9,53.4583333,50,27,0,0,0,0.0001021,1.9676063,3
112,53.5416667,50,27,0,0,0,0.000102,1.9671619,3
112.1,53.625,50,27,0,0,0,0.0001018,1.9667176,3
112.2,53.7083333,50,27,0,0,0,0.0001017,1.9662733,3
112.3,53.7916667,50,27,0,0,0,0.0001015,1.9658291,3
112.4,53.875,50,27,0,0,0,0.0001013,1.9653849,3
112.5,53.9583333,50,27,0,0,0,0.0001012,1.9649408,3
112.6,54.0416667,50,27,0,0,0,0.000101,1.9644967,3
112.7,54.125,50,27,0,0,0,0.0001009,1.9640527,3
112.8,54.2083333,50,27,0,0,0,0.0001007,1.9636087,3
112.9,54.2916667,50,27,0,0,0,0.0001005,1.9631648,3
113,54.375,50,27,0,0,0,0.0001004,1.9627209,3
113.1,54.4583333,50,27,0,0,0,0.0001002,1.962277,3
113.2,54.5416667,50,27,0,0,0,0.0001001,1.9618333,3
113.3,54.625,50,27,0,0,0,0.0000999,1.9613895,3
113.4,54.7083333,50,27,0,0,0,0.0000998,1.9609458,3
113.5,54.7916667,50,27,0,0,0,0.0000996,1.9605022,3
113.6,54.875,50,27,0,0,0,0.0000994,1.9600586,3
113.7,54.9583333,50,27,0,0,0,0.0000993,1.9596151,3
113.8,55.0416667,50,27,0,0,0,0.0000991,1.9591716,3
113.9,55.125,50,27,0,0,0,0.000099,1.9587282,3
114,55.2083333,50,27,0,0,0,0.0000988,1.9582848,3
114.1,55.2916667,50,27,0,0,0,0.0000986,1.9578415,3
114.2,55.375,50,27,0,0,0,0.0000985,1.9573982,3
114.3,55.4583333,50,27,0,0,0,0.0000983,1.956955,3
114.4,55.5416667,50,27,0,0,0,0.0000981,1.9565118,3
114.5,55.625,50,27,0,0,0,0.000098,1.9560687,3
114.6,55.7083333,50,27,0,0,0,0.0000978,1.9556256,3
114.7,55.7916667,50,27,0,0,0,0.0000976,1.9551826,3
114.8,55.875,50,27,0,0,0,0.0000975,1.9547396,3
114.9,55.9583333,50,27,0,0,0,0.0000973,1.9542967,3
115,56.0416667,50,27,0,0,0,0.0000971,1.9538539,3
115.1,56.125,50,27,0,0,0,0.000097,1.9534111,3
115.2,56.2083333,50,27,0,0,0,0.0000968,1.9529683,3
115.3,56.2916667,50,27,0,0,0,0.0000966,1.9525256,3
115.4,56.375,50,27,0,0,0,0.0000965,1.952083,3
115.5,56.4583333,50,27,0,0,0,0.0000963,1.9516404,3
115.6,56.5416667,50,27,0,0,0,0.0000961,1.9511978,3
115.7,56.625,50,27,0,0,0,0.0000959,1.9507553,3
115.8,56.7083333,50,27,0,0,0,0.0000957,1.9503129,3
115.9,56.7916667,50,27,0,0,0,0.0000956,1.9498705,3
116,56.875,50,27,0,0,0,0.0000954,1.9494282,3
116.1,56.9583333,50,27,0,0,0,0.0000952,1.9489859,3
116.2,57.0416667,50,27,0,0,0,0.000095,1.9485437,3
116.3,57.125,50,27,0,0,0,0.0000948,1.9481016,3
116.4,57.2083333,50,27,0,0,0,0.0000947,1.9476594,3
116.5,57.2916667,50,27,0,0,0,0.0000945,1.9472174,3
116.6,57.375,50,27,0,0,0,0.0000943,1.9467754,3
116.7,57.4583333,50,27,0,0,0,0.0000941,1.9463335,3
116.8,57.5277778,50,27,0,0,0,0.0000939,1.9459652,2
116.9,57.5833333,50,27,0,0,0,0.0000938,1.9456706,2
117,57.6388889,50,27,0,0,0,0.0000937,1.9453761,2
117.1,57.6944444,50,27,0,0,0,0.0000935,1.9450816,2
117.2,57.75,50,27,0,0,0,0.0000934,1.9447871,2
117.3,57.8055556,50,27,0,0,0,0.0000933,1.9444926,2
117.4,57.8611111,50,27,0,0,0,0.0000931,1.9441982,2
117.5,57.9166667,50,27,0,0,0,0.000093,1.9439038,2
117.6,57.9722222,50,27,0,0,0,0.0000929,1.9436094,2
117.7,58.0277778,50,27,0,0,0,0.0000927,1.943315,2
117.8,58.0833333,50,27,0,0,0,0.0000926,1.9430207,2
117.9,58.1388889,50,27,0,0,0,0.0000925,1.9427263,2
118,58.1944444,50,27,0,0,0,0.0000923,1.942432,2
118.1,58.25,50,27,0,0,0,0.0000922,1.9421378,2
118.2,58.3055556,50,27,0,0,0,0.000092,1.9418435,2
118.3,58.3611111,50,27,0,0,0,0.0000919,1.9415493,2
118.4,58.4166667,50,27,0,0,0,0.0000918,1.9412551,2
118.5,58.4722222,50,27,0,0,0,0.0000916,1.9409609,2
118.6,58.5277778,50,27,0,0,0,0.0000915,1.9406668,2
118.7,58.5833333,50,27,0,0,0,0.0000913,1.9403727,2
118.8,58.6388889,50,27,0,0,0,0.0000912,1.9400786,2
118.9,58.6944444,50,27,0,0,0,0.000091,1.9397845,2
119,58.75,50,27,0,0,0,0.0000909,1.9394905,2
119.1,58.8055556,50,27,0,0,0,0.0000907,1.9391965,2
119.2,58.8611111,50,27,0,0,0,0.0000906,1.9389025,2
119.3,58.9166667,50,27,0,0,0,0.0000904,1.9386085,2
119.4,58.9722222,50,27,0,0,0,0.0000903,1.9383146,2
119.5,59.0277778,50,27,0,0,0,0.0000901,1.9380207,2
119.6,59.0833333,50,27,0,0,0,0.00009,1.9377268,2
119.7,59.1527778,50,27,0,0,0,0.0000898,1.9373595,3
119.8,59.2361111,50,27,0,0,0,0.0000895,1.9369187,3
119.9,59.3194444,50,27,0,0,0,0.0000893,1.9364781,3
120,59.4027778,50,27,0,0,0,0.0000891,1.9360374,3
120.1,59.4861111,50,27,0,0,0,0.0000888,1.9355969,3
120.2,59.5694444,50,27,0,0,0,0.0000886,1.9351564,3
120.3,59.6527778,50,27,0,0,0,0.0000883,1.9347159,3
120.4,59.7361111,50,27,0,0,0,0.0000881,1.9342756,3
120.5,59.8194444,50,27,0,0,0,0.0000878,1.9338352,3
120.6,59.9027778,50,27,0,0,0,0.0000875,1.933395,3
120.7,59.9861111,50,27,0,0,0,0.0000873,1.9329548,3
120.8,60.0694444,50,27,0,0,0,0.000087,1.9325146,3
120.9,60.1527778,50,27,0,0,0,0.0000868,1.9320745,3
121,60.25,50,27,0,0,0,0.0000864,1.9315612,4
121.1,60.3611111,50,27,0,0,0,0.0000861,1.9309746,4
121.2,60.4722222,50,27,0,0,0,0.0000857,1.9303881,4
121.3,60.5833333,50,27,0,0,0,0.0000854,1.9298017,4
121.4,60.6805556,50,27,0,0,0,0.0000851,1.9292887,3
121.5,60.7638889,50,27,0,0,0,0.0000848,1.928849,3
121.6,60.8472222,50,27,0,0,0,0.0000845,1.9284094,3
121.7,60.9305556,50,27,0,0,0,0.0000842,1.9279699,3
121.8,61.0138889,50,27,0,0,0,0.000084,1.9275304,3
121.9,61.0972222,50,27,0,0,0,0.0000837,1.927091,3
122,61.1805556,50,27,0,0,0,0.0000834,1.9266516,3
122.1,61.2638889,50,27,0,0,0,0.0000831,1.9262123,3
122.2,61.3472222,50,27,0,0,0,0.0000829,1.9257731,3
122.3,61.4305556,50,27,0,0,0,0.0000826,1.9253339,3
122.4,61.5138889,50,27,0,0,0,0.0000823,1.9248947,3
122.5,61.5972222,50,27,0,0,0,0.0000821,1.9244557,3
122.6,61.6805556,50,27,0,0,0,0.0000818,1.9240166,3
122.7,61.7638889,50,27,0,0,0,0.0000815,1.9235777,3
122.8,61.8472222,50,27,0,0,0,0.0000813,1.9231388,3
122.9,61.9305556,50,27,0,0,0,0.000081,1.9226999,3
123,62.0138889,50,27,0,0,0,0.0000807,1.9222612,3
123.1,62.0972222,50,27,0,0,0,0.0000805,1.9218224,3
123.2,62.1805556,50,27,0,0,0,0.0000802,1.9213838,3
123.3,62.2638889,50,27,0,0,0,0.00008,1.9209452,3
123.4,62.3472222,50,27,0,0,0,0.0000797,1.9205066,3
123.5,62.4305556,50,27,0,0,0,0.0000795,1.9200681,3
123.6,62.5138889,50,27,0,0,0,0.0000792,1.9196297,3
