t,d,spd_lim,tfc_flw,traf_lig,tfc_sgn,toll_booth,curvature,slope,velocity_kmh_raw
219751.2,0,130,115,0,0,0,0,2.2352678,112
219751.7,15.5555556,130,115,0,0,0,0.0009429,2.2707743,112
219752.2,31.0416667,130,115,0,0,0,0.0008806,2.3158031,111
219752.7,46.4583333,130,115,0,0,0,0.0004481,2.365939,111
219753.2,61.875,130,115,0,0,0,0.0002637,2.4171097,111
219753.7,77.2916667,130,115,0,0,0,0.0003245,2.4661388,111
219754.2,92.7083333,130,115,0,0,0,0.0002868,2.5127154,111
219754.7,108.125,130,115,0,0,0,0.0003018,2.5567954,111
219755.2,123.4722222,130,115,0,0,0,0.0002929,2.5985201,110
219755.7,138.75,130,115,0,0,0,0.0002794,2.637991,110
219756.2,154.0277778,130,115,0,0,0,0.0002709,2.6748516,110
219756.7,169.3055556,130,115,0,0,0,0.0002878,2.7091652,110
219757.2,184.5138889,130,115,0,0,0,0.0002712,2.740977,109
219757.7,199.6527778,130,115,0,0,0,0.0002765,2.7707763,109
219758.2,214.8611111,130,115,0,0,0,0.0002608,2.79794,110
219758.7,230.0694444,130,115,0,0,0,0.0002632,2.8229774,109
219759.2,245.1388889,130,115,0,0,0,0.0002329,2.8453654,108
219759.7,260.0694444,130,114,0,0,0,0.0003041,2.865252,107
219760.2,274.8611111,130,115,0,0,0,0.0002391,2.8826136,106
219760.7,289.5833439,130,114,0,0,0,0.0001826,2.8975943,106.0001525
219761.2,304.3750212,130,115,0,0,0,0.0002376,2.9106318,107
219761.7,319.3055767,130,115,0,0,0,0.0002713,2.921732,108
219762.2,334.3758219,130,115,0,0,0,0.0002034,2.9303984,109.0115306
219762.7,349.3787489,130,114,0,0,0,0.000237,2.9365887,107.0306174
219763.2,364.6352252,130,115,0,0,0,0.0001985,2.9405542,112.6626424
219763.7,380.3435342,130,115,0,0,0,0.0001988,2.9426429,113.5370072
219764.2,396.184876,130,115,0,0,0,0.0002098,2.9418143,114.5783146
219764.7,412.1712485,130,114,0,0,0,0.0001989,2.938725,115.6254495
219765.2,428.325473,130,115,0,0,0,0.0001524,2.932913,116.9953833
219765.7,444.644302,130,115,0,0,0,0.0002264,2.9241642,117.9957545
219766.2,461.1023406,130,114,0,0,0,0.0001632,2.9128654,119
219766.7,477.6995628,130,115,0,0,0,0.000175,2.8987461,120
219767.2,494.4356739,130,114,0,0,0,0.0002078,2.8816653,121
219767.7,511.3106739,130,115,0,0,0,0.0001631,2.8616924,122
219768.2,528.2551183,130,114,0,0,0,0.0001241,2.8387542,122
219768.7,545.1995628,130,115,0,0,0,0.0001957,2.813232,122
219769.2,562.1440072,130,114,0,0,0,0.0001471,2.7847351,122
219769.7,578.7412294,130,115,0,0,0,0.00012,2.7540592,117
219770.2,594.9912294,130,114,0,0,0,0.0001532,2.7216508,117
219770.7,611.5884517,130,114,0,0,0,0.0001235,2.685802,122
219771.2,628.4634517,130,114,0,0,0,0.0000871,2.6465476,121
219771.7,645.2690072,130,114,0,0,0,0.0001345,2.6050356,121
219772.2,662.0745628,130,114,0,0,0,0.0001425,2.5610715,121
219772.7,678.8801183,130,114,0,0,0,0.0000836,2.5140568,121
219773.2,695.6856739,130,114,0,0,0,0.0001164,2.463963,121
219773.7,712.4912294,130,114,0,0,0,0.0000866,2.4111889,121
219774.2,729.2963874,130,114,0,0,0,0.0000796,2.3557291,120.9942747
219774.7,746.0321009,130,114,0,0,0,0.0000767,2.2972097,120
219775.2,762.6987676,130,115,0,0,0,0.0001247,2.2363002,120
219775.7,779.3654434,130,114,0,0,0,0.0000296,2.1724851,120.0001321
219776.2,796.1015637,130,115,0,0,0,0.0001147,2.1057596,121
219776.7,812.9071193,130,114,0,0,0,0.0000609,2.0364535,121
219777.2,829.7126748,130,114,0,0,0,0.0000786,1.9652718,121
219777.7,846.5182304,130,114,0,0,0,0.0000142,1.8918368,121
219778.2,863.3237859,130,114,0,0,0,0.000046,1.8169643,121
219778.7,880.1293415,130,115,0,0,0,0.0000686,1.7408349,121
219779.2,896.8654526,130,115,0,0,0,0.0000449,1.6641401,120
219779.7,913.5697714,130,114,0,0,0,0.0000641,1.5869461,120.5421909
219780.2,930.3435347,130,115,0,0,0,0.0000244,1.5091344,121
219780.7,947.1490902,130,114,0,0,0,0.0000541,1.4311415,121
219781.2,963.9546458,130,115,0,0,0,0.0000213,1.3532704,121
219781.7,980.7601609,130,115,0,0,0,0.0000895,1.2757606,120.9994177
219782.2,997.4906184,130,114,0,0,0,0.0000248,1.1990917,119.9191703
219782.7,1014.333964,130,114,0,0,0,0.000031,1.1224378,122.625
219783.2,1031.437787,130,115,0,0,0,0.0000409,1.045207,123.6700604
219783.7,1048.674749,130,114,0,0,0,0.0000338,0.9679158,124.5421858
219784.2,1066.044617,130,114,0,0,0,0.0000348,0.8905184,125.5839174
219784.7,1083.515722,130,115,0,0,0,0.0000406,0.8131358,126
219785.2,1101.094964,130,114,0,0,0,0.0000356,0.7356146,127.1410788
219785.7,1118.855257,130,115,0,0,0,0.000038,0.657533,128.6071429
219786.2,1136.78479,130,114,0,0,0,0.000023,0.5789674,129.5781225
219786.7,1154.811048,130,115,0,0,0,0.0000312,0.5002824,130
219787.2,1172.93602,130,114,0,0,0,0.0000176,0.4215183,130.9995938
219787.7,1190.910588,130,115,0,0,0,0.0000233,0.343798,127.834187
219788.2,1208.700126,130,114,0,0,0,0.0000494,0.267233,128.3351558
219788.7,1226.640067,130,115,0,0,0,0.0000149,0.190418,130
219789.2,1244.695623,130,114,0,0,0,0.0000658,0.1134478,130
219789.7,1262.751178,130,115,0,0,0,0.0000127,0.0368705,130
219790.2,1280.806734,130,114,0,0,0,0.0000264,-0.0393242,130
219790.7,1298.792845,130,115,0,0,0,0.0000266,-0.1148732,129
219791.2,1316.526429,130,114,0,0,0,0.000045,-0.1889741,126.3636191
219791.7,1334.260014,130,115,0,0,0,-0.000019,-0.2627387,129
219792.2,1352.176681,130,114,0,0,0,0.0000186,-0.3368678,129
219792.7,1370.093347,130,115,0,0,0,0.0000318,-0.4106345,129
219793.2,1388.010014,130,114,0,0,0,0.0000116,-0.4840284,129
219793.7,1405.926681,130,114,0,0,0,0.0000353,-0.5570604,129
219794.2,1423.843347,130,114,0,0,0,0.0000017,-0.6296824,129
219794.7,1441.760014,130,114,0,0,0,0.0000313,-0.70187,129
219795.2,1459.676681,130,114,0,0,0,0.0000298,-0.7736297,129
219795.7,1477.593347,130,114,0,0,0,-0.0000022,-0.8449864,129
219796.2,1495.510014,130,114,0,0,0,0.0000386,-0.9160304,129
219796.7,1513.426681,130,114,0,0,0,0.0000042,-0.9867723,129
219797.2,1531.273903,130,114,0,0,0,-0.0000007,-1.0570016,128
219797.7,1549.051264,130,114,0,0,0,-0.0000023,-1.1267676,127.9940014
219798.2,1566.759181,130,114,0,0,0,0.0000389,-1.1959627,127
219798.7,1584.398059,130,114,0,0,0,0.0000008,-1.2646395,126.9998475
219799.2,1601.967493,130,114,0,0,0,0.0000204,-1.3326491,126
219799.7,1619.467493,130,114,0,0,0,-0.0000327,-1.4000502,126
219800.2,1636.967493,130,114,0,0,0,0.0000186,-1.4666906,126
219800.7,1654.510477,130,114,0,0,0,-0.0000013,-1.5328028,126.6189702
219801.2,1672.122906,130,114,0,0,0,0.0000489,-1.5982694,127
219801.7,1689.761795,130,114,0,0,0,-0.0000756,-1.6627504,127
219802.2,1707.400683,130,114,0,0,0,0.0000284,-1.7258222,127
219802.7,1725.039572,130,114,0,0,0,0.0000245,-1.7874097,127
219803.2,1742.609263,130,114,0,0,0,-0.0000427,-1.8471689,126.0035523
219803.7,1760.10951,130,114,0,0,0,0.0000014,-1.9047313,126
219804.2,1777.540101,130,114,0,0,0,0.00001,-1.9601954,125.0005027
219804.7,1794.901247,130,114,0,0,0,-0.0000004,-2.01348,125
219805.2,1812.262358,130,114,0,0,0,0.000059,-2.0645529,125
219805.7,1829.623469,130,114,0,0,0,0.0000361,-2.113226,125
219806.2,1846.637358,130,114,0,0,0,-0.0000439,-2.1593488,120
219806.7,1863.651247,130,114,0,0,0,-0.0000359,-2.2035321,125
219807.2,1881.012358,130,114,0,0,0,0.0000063,-2.2461517,125
219807.7,1898.304034,130,114,0,0,0,-0.0000009,-2.2868364,124.0001335
219808.2,1915.59571,130,114,0,0,0,0.0000006,-2.3254721,125
219808.7,1932.887376,130,114,0,0,0,-0.0000015,-2.361998,124
219809.2,1950.109598,130,114,0,0,0,0.0000032,-2.3965228,124
219809.7,1967.331821,130,114,0,0,0,-0.0000258,-2.429037,124
219810.2,1984.554043,130,114,0,0,0,0.000002,-2.4595409,124
219810.7,2001.732595,130,114,0,0,0,-0.0000843,-2.4878366,123.3711448
219811.2,2018.841702,130,114,0,0,0,0.0000332,-2.5139329,123
219811.7,2035.962681,130,114,0,0,0,-0.0000235,-2.5380531,123.5421046
219812.2,2053.153105,130,114,0,0,0,-0.000023,-2.5605613,124
219812.7,2070.375328,130,114,0,0,0,0.0000183,-2.5813198,124
219813.2,2087.666958,130,114,0,0,0,-0.0000159,-2.6002694,124.9994771
219813.7,2105.028033,130,114,0,0,0,-0.0000076,-2.6175918,125
219814.2,2122.458588,130,114,0,0,0,-0.0000552,-2.6335574,126
219814.7,2139.958588,130,114,0,0,0,0.0000755,-2.6479159,126
219815.2,2157.458588,130,114,0,0,0,-0.0000822,-2.6609986,126
219815.7,2174.958588,130,114,0,0,0,0.0000333,-2.672723,126
219816.2,2192.528033,130,114,0,0,0,0.0000496,-2.6835293,127
219816.7,2210.166922,130,114,0,0,0,-0.0000271,-2.6931091,127
219817.2,2227.805811,130,114,0,0,0,0.0000654,-2.7016631,127
219817.7,2245.444689,130,114,0,0,0,0.0000019,-2.7092711,126.9998518
219818.2,2263.014123,130,114,0,0,0,0.0000192,-2.7160009,126
219818.7,2280.514123,130,114,0,0,0,0.0000256,-2.7216701,126
219819.2,2298.014123,130,114,0,0,0,0.0000535,-2.7264734,126
219819.7,2315.514123,130,114,0,0,0,0.0000455,-2.7302114,126
219820.2,2332.944679,130,114,0,0,0,0.0001106,-2.7328432,125
219820.7,2350.30578,130,114,0,0,0,0.0000226,-2.7345842,124.9998515
219821.2,2367.597436,130,114,0,0,0,0.0000756,-2.7354397,124
219821.7,2384.819658,130,114,0,0,0,0.0000393,-2.7350952,124
219822.2,2402.04188,130,114,0,0,0,0.0000648,-2.7338585,124
219822.7,2419.194658,130,114,0,0,0,0.0000596,-2.7315064,123
219823.2,2436.277992,130,114,0,0,0,0.0000689,-2.7281927,123
219823.7,2453.361325,130,114,0,0,0,0.0000676,-2.7238417,123
219824.2,2470.444658,130,114,0,0,0,0.0001224,-2.7186774,123
219824.7,2487.527992,130,114,0,0,0,0.0000455,-2.7124556,123
219825.2,2504.54188,130,114,0,0,0,0.000073,-2.705154,122
219825.7,2521.486325,130,114,0,0,0,0.0000967,-2.6970071,122
219826.2,2538.430769,130,114,0,0,0,0.0000869,-2.6879127,122
219826.7,2555.375214,130,114,0,0,0,0.0000933,-2.6777216,122
219827.2,2572.319658,130,114,0,0,0,0.0001229,-2.6666445,122
