t,d,spd_lim,tfc_flw,traf_lig,tfc_sgn,toll_booth,curvature,slope,velocity_kmh_raw
220781.42,9.9767881,130,115,0,0,0,0.0000884,0.3838973,118
220781.92,26.3656769,130,115,0,0,0,0.0001106,0.380729,118
220782.42,42.7545658,130,115,0,0,0,0.0000795,0.3775906,118
220782.92,59.1434547,130,115,0,0,0,0.0000865,0.3744808,118
220783.42,75.5323436,130,115,0,0,0,0.0000885,0.3714013,118
220783.92,91.9212325,130,115,0,0,0,0.0000947,0.3683515,118
220784.42,108.3101214,130,115,0,0,0,0.0000432,0.3653296,118
220784.92,124.6990103,130,115,0,0,0,0.0001158,0.3623379,118
220785.42,141.0878992,130,115,0,0,0,0.0000754,0.3593758,118
220785.92,157.4767881,130,115,0,0,0,0.0000836,0.3564398,118
220786.42,173.8656769,130,115,0,0,0,0.0000944,0.3535363,118
220786.92,190.2545658,130,115,0,0,0,0.0000887,0.350658,118
220787.42,206.7128992,130,115,0,0,0,0.0000901,0.3478001,119
220787.92,223.2406769,130,115,0,0,0,0.0000622,0.3449565,119
220788.42,239.6990103,130,115,0,0,0,0.0001326,0.3421524,118
220788.92,256.0878992,130,115,0,0,0,0.0000687,0.3393918,118
220789.42,272.4767881,130,115,0,0,0,0.0001411,0.3366559,118
220789.92,288.8656769,130,115,0,0,0,0.0000615,0.3339514,118
220790.42,305.1851214,130,115,0,0,0,0.0000892,0.3312839,117
220790.92,321.4351214,130,115,0,0,0,0.0000881,0.3286552,117
220791.42,337.7545658,130,115,0,0,0,0.0000959,0.3260452,118
220791.92,354.1434547,130,115,0,0,0,0.0000982,0.3234525,118
220792.42,370.5323436,130,115,0,0,0,0.0000936,0.3208809,118
220792.92,386.9212325,130,115,0,0,0,0.0000931,0.3183382,118
220793.42,403.0323436,130,115,0,0,0,0.0000891,0.3158731,114
220793.92,419.1434547,130,115,0,0,0,0.0000936,0.313431,118
220794.42,435.5323436,130,115,0,0,0,0.0000853,0.3109697,118
220794.92,451.9212325,130,115,0,0,0,0.0001007,0.3085431,118
220795.42,468.3101214,130,115,0,0,0,0.0000746,0.306144,118
220795.92,484.6990103,130,115,0,0,0,0.000059,0.3037659,118
220796.42,501.0878992,130,115,0,0,0,0.0000926,0.3014207,118
220796.92,517.4767881,130,115,0,0,0,0.0000568,0.2991014,118
220797.42,533.8656769,130,115,0,0,0,0.0001009,0.2968052,118
220797.92,550.2545658,130,115,0,0,0,0.000082,0.2945419,118
220798.42,566.6434547,130,115,0,0,0,0.0000797,0.2923106,118
220798.92,583.0323436,130,115,0,0,0,0.0001221,0.2900944,118
220799.42,599.4212325,130,115,0,0,0,0.0001079,0.2879127,118
220799.92,615.7943868,130,115,0,0,0,0.0000967,0.2857668,117.7734226
220800.42,632.1475466,130,115,0,0,0,0.0000661,0.2836457,117.7120777
220800.92,648.475958,130,115,0,0,0,0.0000622,0.2815504,117.4170472
220801.42,664.8243641,130,115,0,0,0,0.0001188,0.2794787,118
220801.92,681.213253,130,115,0,0,0,0.0000803,0.2774336,118
220802.42,697.6021419,130,115,0,0,0,0.0000815,0.275417,118
220802.92,713.9910307,130,115,0,0,0,0.0001045,0.2734201,118
220803.42,730.3799196,130,115,0,0,0,0.0000703,0.2714569,118
220803.92,746.7688085,130,115,0,0,0,0.0000993,0.2695161,118
220804.42,763.1618412,130,115,0,0,0,0.000099,0.2676029,118.0596707
220804.92,779.6243183,130,115,0,0,0,0.0000913,0.2657127,119
