t,d,spd_lim,tfc_flw,traf_lig,tfc_sgn,toll_booth,curvature,slope,velocity_kmh_raw
221258.22,10.3303119,80,78,0,0,0,0.0001328,0.1550899,86
221258.72,22.2747564,80,77,0,0,0,0.0001757,0.2442046,86
221259.22,34.2192008,80,77,0,0,0,0.0001229,0.329247,86
221259.72,46.1636453,80,78,0,0,0,0.0001588,0.4085236,86
221260.22,58.1080897,80,77,0,0,0,0.0000846,0.4780924,86
221260.72,70.0525341,80,78,0,0,0,0.0000659,0.5354709,86
221261.22,81.7886453,80,78,0,0,0,0.0000692,0.5781572,83
221261.72,93.5247564,80,77,0,0,0,0.0000843,0.6049502,86
221262.22,105.4692008,80,76,0,0,0,0.0000173,0.613924,86
221262.72,117.4136453,80,76,0,0,0,-0.0000444,0.6065717,86
221263.22,129.3580897,80,76,0,0,0,0.0000001,0.5780226,86
221263.72,141.3025341,80,75,0,0,0,-0.000001,0.5285568,86
221264.22,153.2469786,80,74,0,0,0,-0.000094,0.4571413,86
221264.72,165.191423,80,75,0,0,0,-0.0000781,0.3635758,86
221265.22,177.066423,80,75,0,0,0,-0.0000015,0.2522409,85
221265.72,188.8719786,80,74,0,0,0,-0.0001555,0.1193558,85
221266.22,200.6775341,80,75,0,0,0,-0.0001336,-0.0336875,85
221266.72,212.4136453,80,74,0,0,0,0.0000118,-0.2048985,84
221267.22,224.0803119,80,73,0,6,0,0.0002523,-0.3929338,84
221267.72,235.7469786,80,73,0,0,0,0.000478,-0.5978541,84
221268.22,247.4136453,80,73,0,0,0,0.0007211,-0.8166047,84
221268.72,259.0803119,80,70,0,0,0,0.0011165,-1.0519893,84
221269.22,270.7469786,80,70,0,0,0,0.000863,-1.3023771,84
221269.72,282.4136453,80,70,0,0,0,0.0019323,-1.565227,84
221270.22,294.0803119,80,70,0,0,0,0.0035666,-1.8402579,84
221270.72,305.7469786,80,70,0,0,0,0.0017727,-2.1214438,84
221271.22,317.4136453,80,68,0,0,0,0.002483,-2.4037688,84
221271.72,329.0803119,80,68,0,0,0,0.0027086,-2.6806834,84
221272.22,340.7469786,80,68,0,0,0,0.0030218,-2.9432995,84
221272.72,352.4136453,80,68,0,0,0,0.0033921,-3.1882805,84
221273.22,363.8759903,80,68,0,0,0,0.0037098,-3.4045062,81.0577689
221273.72,375.3137409,80,68,0,0,0,0.0038689,-3.5877341,83.6458391
221274.22,386.955813,80,68,0,0,0,0.003743,-3.7381021,84
221274.72,398.6224797,80,68,0,0,0,0.0035621,-3.8489594,84
221275.22,410.2891464,80,68,0,0,0,0.0033673,-3.9131289,84
221275.72,421.955813,80,68,0,0,0,0.0032789,-3.937175,84
221276.22,433.6224797,80,68,0,0,0,0.0031823,-3.9170585,84
221276.72,445.2891464,80,68,0,0,0,0.0030111,-3.8481875,84
221277.22,456.955813,80,68,0,0,0,0.0030307,-3.735742,84
