t,d,spd_lim,tfc_flw,traf_lig,tfc_sgn,toll_booth,curvature,slope,velocity_kmh_raw
18,353.1818,90,80,0,0,0,0.0242033,-0.2047869,3
19,354.4318,90,80,0,0,0,0.0246951,-0.2014588,6
20,356.0984667,90,80,0,0,0,0.024912,-0.2010732,6
21,357.7651333,90,80,0,0,0,0.0246159,-0.2067695,6
22,359.5706889,90,79,0,0,0,0.0237166,-0.2211359,7
23,361.5151333,90,79,0,0,0,0.0221904,-0.243807,7
24,363.4595778,90,79,0,0,0,0.0202587,-0.2697603,7
25,365.4040222,90,79,0,0,0,0.018099,-0.2947037,7
26,367.3484667,90,79,0,0,0,0.0158887,-0.3143451,7
27,369.2929111,90,80,0,0,0,0.0137947,-0.3248033,7
28,371.0984667,90,80,0,0,0,0.0120073,-0.3264482,6
29,372.7651333,90,80,0,0,0,0.0104899,-0.3229251,6
30,374.4318,90,80,0,0,0,0.0090974,-0.3162701,6
31,376.3762444,90,80,0,0,0,0.0076278,-0.3067649,8
32,378.5984667,90,79,0,0,0,0.0061483,-0.2968108,8
33,380.9595778,90,79,0,0,0,0.0048044,-0.289464,9
34,383.5984667,90,79,0,0,0,0.0035725,-0.2841591,10
35,386.3762444,90,79,0,0,0,0.0025737,-0.2802131,10
36,389.1540222,90,80,0,0,0,0.0018687,-0.2761594,10
37,392.0706889,90,80,0,0,0,0.0013971,-0.270862,11
38,395.2651333,90,80,0,0,0,0.0010815,-0.2643876,12
39,398.5984667,90,79,0,0,0,0.0008363,-0.2576624,12
40,402.0706889,90,79,0,0,0,0.0005514,-0.2513239,13
41,405.8206889,90,79,0,0,0,0.0001981,-0.2451176,14
42,409.7095778,90,80,0,0,0,-0.000205,-0.2390659,14
43,413.7373555,90,80,0,0,0,-0.0006397,-0.2330482,15
44,418.0429111,90,80,0,0,0,-0.0010847,-0.227044,16
45,422.6262444,90,79,0,0,0,-0.0015088,-0.2211466,17
46,427.4873555,90,79,0,0,0,-0.001992,-0.2142744,18
47,432.6262444,90,80,0,0,0,-0.0026477,-0.2045821,19
48,438.0429111,90,80,0,0,0,-0.0033019,-0.1902823,20
49,443.4595778,90,79,0,0,0,-0.0036387,-0.1708148,19
50,448.5984667,90,80,0,0,0,-0.0036683,-0.1475077,18
51,453.3206889,90,80,0,0,0,-0.0035001,-0.1224398,16
52,457.4873555,90,79,0,0,0,-0.0032173,-0.0985002,14
53,461.3762444,90,79,0,0,0,-0.0028754,-0.0754823,14
54,465.1262444,90,79,0,0,0,-0.0025732,-0.0531995,13
55,468.5984667,90,80,0,0,0,-0.0024033,-0.0328797,12
56,471.6540222,90,80,0,0,0,-0.0022595,-0.0153602,10
57,473.8762444,90,80,0,0,0,-0.0020393,-0.0027951,6
58,474.7095778,90,80,0,0,0,-0.001913,0.0018847,0
59,474.7095778,90,80,0,0,0,-0.001913,0.0018847,0
60,474.7095778,90,80,0,0,0,-0.001913,0.0018847,0
61,474.7095778,90,80,0,0,0,-0.001913,0.0018847,0
62,474.7095778,90,80,0,0,0,-0.001913,0.0018847,0
63,474.7095778,90,80,0,0,0,-0.001913,0.0018847,0
64,474.7095778,90,80,0,0,0,-0.001913,0.0018847,0
65,474.7095778,90,80,0,0,0,-0.001913,0.0018847,0
66,474.7095778,90,80,0,0,0,-0.001913,0.0018847,0
67,474.7095778,90,80,0,0,0,-0.001913,0.0018847,0
68,475.2651333,90,80,0,0,0,-0.0018122,0.0049959,4
69,476.6540222,90,80,0,0,0,-0.0014933,0.0127469,6
70,478.3206889,90,79,0,0,0,-0.0009661,0.0219911,6
71,480.1262444,90,79,0,0,0,-0.0002033,0.031873,7
72,482.3484667,90,79,0,0,0,0.0010264,0.043722,9
73,484.9873555,90,79,0,0,0,0.002933,0.0571357,10
74,487.7651333,90,80,0,0,0,0.0055056,0.0702098,10
75,490.9595778,90,80,0,0,0,0.0096069,0.0840135,13
76,494.8484667,90,80,3,16,0,0.0178695,0.1004198,15
77,499.2929111,90,79,0,0,0,0.0336718,0.1209743,17
78,504.2929111,90,79,0,0,0,0.0471854,0.1501739,19
79,509.4318,90,83,0,0,0,0.0361645,0.188351,18
80,514.5706889,90,83,0,0,0,0.0179252,0.2198632,19
81,519.9873555,50,49,0,0,0,0.0085667,0.2371029,20
82,525.5429111,50,38,4,0,0,0.0039288,0.2490603,20
83,531.0984667,50,38,0,0,0,0.0004718,0.2622707,20
84,536.5151333,50,38,0,0,0,-0.0012568,0.2762533,19
85,541.6540222,50,38,0,0,0,-0.0014561,0.2899519,18
86,546.3762444,50,38,0,0,0,-0.0012237,0.3022939,16
87,550.5429111,50,40,0,0,0,-0.0011257,0.31273,14
88,554.4318,50,44,0,0,0,-0.001095,0.3222528,14
89,558.4595778,50,44,0,0,0,-0.0010513,0.3320966,15
90,562.9040222,50,44,0,0,0,-0.0009772,0.3430582,17
91,567.9040222,50,44,0,0,0,-0.0009141,0.3555701,19
92,573.4595778,50,46,0,0,0,-0.0008857,0.3698517,21
93,579.1540222,50,47,0,0,0,-0.0008242,0.3852189,20
94,584.7095778,50,47,0,0,0,-0.000695,0.4010437,20
95,590.2651333,50,46,0,0,0,-0.000517,0.4174706,20
96,595.8206889,50,46,0,0,0,-0.0003459,0.4329732,20
97,601.0984667,50,47,0,0,0,-0.0002463,0.4449379,18
98,605.9595778,50,49,0,0,0,-0.0001934,0.4530883,17
99,610.6818,50,49,0,0,0,-0.0001437,0.4583055,17
100,615.5429111,50,50,0,0,0,-0.0000694,0.4608172,18
101,620.5429111,50,50,0,0,0,0.0000101,0.4602119,18
102,625.4040222,50,50,0,0,0,0.0000541,0.456339,17
103,629.9873555,50,49,0,0,0,0.0000426,0.4497093,16
104,633.5984667,50,49,0,0,0,0.0000145,0.4429661,10
105,635.5429111,50,49,0,0,0,0.000001,0.4389845,4
106,636.0984667,50,50,0,0,0,-0.0000021,0.4378176,0
107,636.0984667,50,50,0,0,0,-0.0000021,0.4378176,0
108,636.5151333,50,50,0,0,0,-0.0000041,0.4369357,3
109,637.6262444,50,50,0,0,0,-0.0000082,0.4345594,5
110,639.2929111,50,50,0,0,0,-0.0000113,0.4309425,7
111,641.3762444,50,50,0,0,0,-0.0000109,0.4263704,8
112,643.8762444,50,50,0,0,0,-0.000005,0.4208797,10
113,646.6540222,50,50,0,0,0,0.0000065,0.4148801,10
114,649.4318,50,50,0,0,0,0.0000213,0.4091097,10
115,652.7651333,50,49,0,0,0,0.0000402,0.4026738,14
116,656.9318,50,49,0,0,0,0.0000616,0.3958425,16
117,661.7929111,50,49,0,0,0,0.0000771,0.3904757,19
118,667.0706889,50,50,0,0,0,0.0000735,0.3890802,19
119,672.3484667,50,50,0,0,0,0.0000501,0.3927322,19
120,677.7651333,50,50,0,0,0,0.0000265,0.4005106,20
121,683.3206889,50,49,0,0,0,0.0000259,0.4112482,20
122,689.0151333,50,49,0,0,0,0.0000501,0.4234621,21
123,694.7095778,50,49,0,0,0,0.0000754,0.4350663,20
124,700.4040222,50,50,0,0,0,0.0000809,0.4443682,21
125,706.2373555,50,50,0,0,0,0.0000687,0.4507009,21
126,712.0706889,50,49,0,0,0,0.0000501,0.453337,21
127,717.6262444,50,49,0,0,0,0.0000357,0.4533569,19
128,722.7651333,50,49,0,0,0,0.0000308,0.4541144,18
129,727.3484667,50,50,0,0,0,0.0000371,0.4577152,15
130,731.3762444,50,50,0,0,0,0.0000496,0.4640458,14
131,735.1262444,50,50,0,0,0,0.0000622,0.4724515,13
132,738.4595778,50,50,0,0,0,0.00007,0.4818034,11
133,741.5151333,50,49,0,0,0,0.0000716,0.4918137,11
134,744.9873555,50,49,0,0,0,0.0000664,0.5046397,14
135,749.2929111,50,49,0,0,0,0.0000567,0.5221128,17
136,754.4318,50,49,0,0,0,0.0000532,0.5442218,20
137,760.1262444,50,50,0,0,0,0.0000735,0.5688942,21
138,765.8206889,50,50,0,0,0,0.0000966,0.5928451,20
139,771.3762444,50,49,0,0,0,0.0000836,0.6149283,20
140,776.7929111,50,49,0,0,0,0.0000226,0.6348097,19
141,781.9318,50,49,0,0,0,-0.0000377,0.6520882,18
142,786.6540222,50,50,0,0,0,-0.0000536,0.6665871,16
143,790.9595778,50,50,0,0,0,-0.0000198,0.6786933,15
144,794.9873555,50,50,0,0,0,0.0000314,0.6891922,14
145,798.7373555,50,50,0,0,0,0.0000743,0.6983707,13
146,801.9318,50,49,0,0,0,0.000092,0.7058198,10
147,804.1540222,50,49,0,0,0,0.0000908,0.710834,6
148,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
149,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
150,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
151,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
152,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
153,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
154,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
155,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
156,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
157,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
158,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
159,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
160,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
161,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
162,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
163,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
164,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
165,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
166,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
167,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
168,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
169,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
170,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
171,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
172,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
173,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
174,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
175,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
176,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
177,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
178,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
179,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
180,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
181,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
182,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
183,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
184,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
185,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
186,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
187,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
188,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
189,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
190,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
191,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
192,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
193,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
194,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
195,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
196,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
197,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
198,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
199,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
200,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
201,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
202,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
203,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
204,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
205,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
206,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
207,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
208,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
209,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
210,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
211,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
212,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
213,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
214,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
215,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
216,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
217,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
218,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
219,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
220,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
221,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
222,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
223,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
224,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
225,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
226,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
227,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
228,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
229,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
230,804.9873555,50,49,0,0,0,0.000088,0.7126821,0
