t,d,spd_lim,tfc_flw,traf_lig,tfc_sgn,toll_booth,curvature,slope,velocity_kmh_raw
153,0.1388889,56,56,0,0,0,0.0001061,-1.0135168,1
154,0.9722222,56,56,0,0,0,0.0007062,-1.0165145,5
155,2.9166667,56,56,0,0,0,0.0018771,-1.0209297,9
156,5.4166667,56,56,0,0,0,0.0029585,-1.021876,9
157,9.0277778,56,56,0,0,0,0.0038244,-1.0155947,17
158,14.3055556,56,56,0,0,0,0.0040485,-0.9954045,21
159,20.9722222,56,56,0,0,0,0.0035793,-0.9633618,27
160,28.4722222,56,56,0,0,0,0.0032022,-0.9307514,27
161,36.5277778,56,56,0,0,0,0.0030691,-0.8962064,31
162,45.4166667,56,56,0,0,0,0.0027522,-0.8582957,33
163,55.2777778,56,56,0,0,0,0.002314,-0.8171891,38
164,65.8333333,56,55,0,0,0,0.0019947,-0.7738843,38
165,77.0833333,56,55,0,0,0,0.0016387,-0.7285112,43
166,89.0277778,56,56,0,0,0,0.0011969,-0.6813169,43
167,101.6666667,56,55,0,0,0,0.0007971,-0.632525,48
168,115.5555556,56,56,0,0,0,0.0004007,-0.5800883,52
169,130.1388889,56,55,0,0,0,-0.0000446,-0.5262486,53
170,144.8611111,56,56,0,0,0,-0.0004854,-0.4733249,53
171,160,56,55,0,0,0,-0.0006482,-0.4203958,56
172,175.8333333,56,56,0,0,0,-0.0005376,-0.3665259,58
173,191.9444444,56,55,0,0,0,-0.0004346,-0.3135277,58
174,208.3333333,56,56,0,0,0,-0.0002635,-0.2612114,60
175,225,56,55,0,0,0,-0.000189,-0.2097661,60
176,241.9444444,56,55,0,0,0,-0.0000182,-0.1592141,62
177,259.1666667,56,55,0,0,0,0.0000459,-0.1095107,62
178,276.5277778,56,56,0,0,0,0.0002984,-0.0613565,63
179,294.0277778,56,55,0,0,0,0.0003373,-0.0144788,63
180,311.6666667,56,55,0,0,0,0.0006104,0.0310261,64
181,329.3055556,56,56,0,0,0,0.0008868,0.0748685,63
182,346.6666667,56,55,0,0,0,0.0011691,0.1165343,62
183,363.8888889,56,56,0,0,0,0.0014584,0.1562331,62
184,380.8333333,56,55,0,0,0,0.001762,0.1938529,60
185,397.4972767,56,56,0,0,0,0.0021554,0.2295469,59.9803922
186,413.8834423,56,55,0,0,0,0.0024758,0.2631885,58
187,429.8556645,56,56,0,0,0,0.0028433,0.2947358,57
188,445.6889978,56,55,0,0,0,0.0032071,0.3248711,57
189,461.66122,56,54,0,0,0,0.0036127,0.3539268,58
190,477.7723312,56,55,0,0,0,0.0039335,0.3819999,58
191,494.0223312,56,54,0,0,0,0.0041216,0.4091551,59
192,510.41122,56,55,0,0,0,0.0042739,0.4351605,59
